category, number of apps
Beauty,11772
Parenting,3810
Action,27555
Personalization,89210
Word,8630
Books & Reference,116728
Entertainment,138276
Music & Audio,154906
Board,10588
House & Home,14369
Education,241090
Events,12841
Lifestyle,118331
Shopping,75256
Racing,10362
News & Magazines,42807
Maps & Navigation,26722
Dating,6524
Communication,48167
Sports,47483
Business,143771
Art & Design,18539
Productivity,79698
Social,44734
Adventure,23203
Finance,65466
Tools,143988
Health & Fitness,83510
Travel & Local,67288
Educational,21308
Casual,50813
Trivia,11795
Food & Drink,73927
Arcade,53792
Card,8179
Photography,35552
Weather,7246
Puzzle,51168
Simulation,23282
Casino,5076
Music,4202
Libraries & Demo,5198
Strategy,8526
Medical,32065
Role Playing,10034
Comics,2862
Auto & Vehicles,18280
Video Players & Editors,14015
